Stage 1 ,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
,,Victor Campenaerts,,,Valentin Madouas,Clément Russo,Bert Van Lerberghe,Edward Theuns,Aurélien Paret-Peintre,Dylan Groenewegen,Bert Van Lerberghe,,,Alberto Dainese,,,,,,
,,Team Visma | Lease a Bike,,,Groupama - FDJ,Groupama - FDJ,Soudal Quick-Step,Lidl - Trek,Decathlon AG2R La Mondiale Team,Team Jayco AlUla,Soudal Quick-Step,,,Tudor Pro Cycling Team,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,6 points,,,2 points,2 points,4 points,4 points,2 points,4 points,2 points,,,2 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Sepp Kuss,,,Guillaume Martin,Quinn Simmons,Ilan Van Wilder,Cees Bol,Callum Scotson,Luka Mezgec,Ilan Van Wilder,,,Marco Haller,,,,,,
,,Team Visma | Lease a Bike,,,Groupama - FDJ,Lidl - Trek,Soudal Quick-Step,XDS Astana Team,Decathlon AG2R La Mondiale Team,Team Jayco AlUla,Soudal Quick-Step,,,Tudor Pro Cycling Team,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,6 points,,,2 points,2 points,3 points,3 points,2 points,4 points,2 points,,,2 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Wout Van Aert,,,Quentin Pacher,Tobias Lund Andresen,Georg Zimmermann,Bryan Coquard,Bastien Tronchon,Luke Plapp,Matteo Trentin,,,Marc Hirschi,,,,,,
,,Team Visma | Lease a Bike,,,Groupama - FDJ,Team Picnic PostNL,Intermarché - Wanty,Cofidis,Decathlon AG2R La Mondiale Team,Team Jayco AlUla,Tudor Pro Cycling Team,,,Tudor Pro Cycling Team,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,6 points,,,2 points,2 points,2 points,2 points,2 points,4 points,1 points,,,2 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Simon Yates,,,Paul Penhoët,Warren Barguil,Silvan Dillier,Amaury Capiot,Romain Grégoire,Elmar Reinders,Emanuel Buchmann,,,Fabian Lienhard,,,,,,
,,Team Visma | Lease a Bike,,,Groupama - FDJ,Team Picnic PostNL,Alpecin - Deceuninck,Arkéa - B&B Hotels,Groupama - FDJ,Team Jayco AlUla,Cofidis,,,Tudor Pro Cycling Team,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,4 points,,,2 points,2 points,2 points,2 points,2 points,3 points,1 points,,,2 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Thibau Nys,,,Clément Russo,Pavel Bittner,Xandro Meurisse,Raúl García Pierna,Pascal Eenkhoorn,Mattias Skjelmose,Tobias Foss,,,Marius Mayrhofer,,,,,,
,,Lidl - Trek,,,Groupama - FDJ,Team Picnic PostNL,Alpecin - Deceuninck,Arkéa - B&B Hotels,Soudal Quick-Step,Lidl - Trek,INEOS Grenadiers,,,Tudor Pro Cycling Team,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,4 points,,,2 points,2 points,2 points,2 points,2 points,2 points,,,,2 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Quinn Simmons,,,Laurenz Rex,Sean Flynn,Jonas Rickaert,Mathis Le Berre,Maximilian Schachmann,Silvan Dillier,,,,Matteo Trentin,,,,,,
,,Lidl - Trek,,,Intermarché - Wanty,Team Picnic PostNL,Alpecin - Deceuninck,Arkéa - B&B Hotels,Soudal Quick-Step,Alpecin - Deceuninck,,,,Tudor Pro Cycling Team,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,4 points,,,2 points,2 points,2 points,2 points,2 points,2 points,,,,1 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Toms Skujiņš,,,Mattia Cattaneo,Niklas Märkl,Gianni Vermeersch,Cristián Rodríguez,Bert Van Lerberghe,Xandro Meurisse,,,,Enric Mas,,,,,,
,,Lidl - Trek,,,Soudal Quick-Step,Team Picnic PostNL,Alpecin - Deceuninck,Arkéa - B&B Hotels,Soudal Quick-Step,Alpecin - Deceuninck,,,,Movistar Team,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,4 points,,,2 points,2 points,2 points,2 points,2 points,2 points,,,,1 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Jasper Stuyven,,,Pascal Eenkhoorn,Tim Naberman,Emiel Verstrynge,Clément Venturini,Ilan Van Wilder,Jonas Rickaert,,,,Tobias Lund Andresen,,,,,,
,,Lidl - Trek,,,Soudal Quick-Step,Team Picnic PostNL,Alpecin - Deceuninck,Arkéa - B&B Hotels,Soudal Quick-Step,Alpecin - Deceuninck,,,,Team Picnic PostNL,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,4 points,,,2 points,2 points,2 points,2 points,1 points,2 points,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Edward Theuns,,,Valentin Paret-Peintre,Frank Van Den Broek,Amaury Capiot,Lewis Askey,Emanuel Buchmann,Gianni Vermeersch,,,,,,,,,,
,,Lidl - Trek,,,Soudal Quick-Step,Team Picnic PostNL,Arkéa - B&B Hotels,Groupama - FDJ,Cofidis,Alpecin - Deceuninck,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,4 points,,,2 points,1 points,2 points,2 points,1 points,2 points,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Jhonatan Narváez,,,Maximilian Schachmann,Laurenz Rex,Raúl García Pierna,Cyril Barthe,Anthony Turgis,Emiel Verstrynge,,,,,,,,,,
,,UAE Team Emirates - XRG,,,Soudal Quick-Step,Intermarché - Wanty,Arkéa - B&B Hotels,Groupama - FDJ,Team TotalEnergies,Alpecin - Deceuninck,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,4 points,,,2 points,1 points,2 points,2 points,,2 points,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Nils Politt,,,Bert Van Lerberghe,Eddie Dunbar,Mathis Le Berre,Romain Grégoire,,Lewis Askey,,,,,,,,,,
,,UAE Team Emirates - XRG,,,Soudal Quick-Step,Team Jayco AlUla,Arkéa - B&B Hotels,Groupama - FDJ,,Groupama - FDJ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,4 points,,,2 points,,2 points,2 points,,2 points,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Pavel Sivakov,,,Ilan Van Wilder,,Cristián Rodríguez,Valentin Madouas,,Cyril Barthe,,,,,,,,,,
,,UAE Team Emirates - XRG,,,Soudal Quick-Step,,Arkéa - B&B Hotels,Groupama - FDJ,,Groupama - FDJ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,4 points,,,2 points,,2 points,2 points,,2 points,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Marc Soler,,,Alberto Dainese,,Clément Venturini,Quentin Pacher,,Valentin Madouas,,,,,,,,,,
,,UAE Team Emirates - XRG,,,Tudor Pro Cycling Team,,Arkéa - B&B Hotels,Groupama - FDJ,,Groupama - FDJ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,4 points,,,2 points,,2 points,2 points,,2 points,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Adam Yates,,,Marco Haller,,Cyril Barthe,Clément Russo,,Paul Penhoët,,,,,,,,,,
,,UAE Team Emirates - XRG,,,Tudor Pro Cycling Team,,Groupama - FDJ,Groupama - FDJ,,Groupama - FDJ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,4 points,,,2 points,,2 points,2 points,,2 points,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Jenno Berckmoes,,,Marc Hirschi,,Romain Grégoire,Jenno Berckmoes,,Clément Russo,,,,,,,,,,
,,Lotto,,,Tudor Pro Cycling Team,,Groupama - FDJ,Lotto,,Groupama - FDJ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2 points,,,2 points,,2 points,2 points,,2 points,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Kamil Gradek,,,Fabian Lienhard,,Valentin Madouas,Jarrad Drizners,,Thymen Arensman,,,,,,,,,,
,,Bahrain - Victorious,,,Tudor Pro Cycling Team,,Groupama - FDJ,Lotto,,INEOS Grenadiers,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2 points,,,2 points,,2 points,2 points,,2 points,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Jack Haig,,,Marius Mayrhofer,,Quentin Pacher,Sébastien Grignard,,Pascal Eenkhoorn,,,,,,,,,,
,,Bahrain - Victorious,,,Tudor Pro Cycling Team,,Groupama - FDJ,Lotto,,Soudal Quick-Step,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2 points,,,2 points,,2 points,2 points,,2 points,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Lenny Martinez,,,Matteo Trentin,,Paul Penhoët,Eduardo Sepúlveda,,Valentin Paret-Peintre,,,,,,,,,,
,,Bahrain - Victorious,,,Tudor Pro Cycling Team,,Groupama - FDJ,Lotto,,Soudal Quick-Step,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2 points,,,1 points,,2 points,2 points,,2 points,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Matej Mohorič,,,Jack Haig,,Clément Russo,Lennert Van Eetvelt,,Maximilian Schachmann,,,,,,,,,,
,,Bahrain - Victorious,,,Bahrain - Victorious,,Groupama - FDJ,Lotto,,Soudal Quick-Step,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2 points,,,1 points,,2 points,2 points,,2 points,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Robert Stannard,,,Bastien Tronchon,,Roel Van Sintmaartensdijk,Brent Van Moer,,Bert Van Lerberghe,,,,,,,,,,
,,Bahrain - Victorious,,,Decathlon AG2R La Mondiale Team,,Intermarché - Wanty,Lotto,,Soudal Quick-Step,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2 points,,,,,1 points,1 points,,2 points,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Fred Wright,,,,,Neilson Powless,Emanuel Buchmann,,Ilan Van Wilder,,,,,,,,,,
,,Bahrain - Victorious,,,,,EF Education - EasyPost,Cofidis,,Soudal Quick-Step,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2 points,,,,,1 points,1 points,,1 points,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Laurenz Rex,,,,,Ben O'Connor,Luke Plapp,,Emanuel Buchmann,,,,,,,,,,
,,Intermarché - Wanty,,,,,Team Jayco AlUla,Team Jayco AlUla,,Cofidis,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2 points,,,,,1 points,1 points,,1 points,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Alexandre Delettre,,,,,Michael Storer,Michael Storer,,Anthony Turgis,,,,,,,,,,
,,Team TotalEnergies,,,,,Tudor Pro Cycling Team,Tudor Pro Cycling Team,,Team TotalEnergies,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,1 points,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Felix Gall,,,,,,,,,,,,,,,,,,
,,Decathlon AG2R La Mondiale Team,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,1 points,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Andreas Leknessund,,,,,,,,,,,,,,,,,,
,,Uno-X Mobility,,,,,,,,,,,,,,,,,,
